task_id,group,dataset_path,question_type,answer_format,status,num_samples,num_success,num_failed,best_accuracy,final_accuracy,best_iteration,best_num_success,best_num_failed,stopped_reason,total_runtime_seconds
boolean_expressions,BBH,Dataset_format/BBH/boolean_expressions.csv,choice,boolean,success,1,1,0,1.0,1.0,1,1,0,max_iterations,19.0316
disambiguation_qa,BBH,Dataset_format/BBH/disambiguation_qa.csv,choice,option_letter,success,1,1,0,1.0,1.0,1,1,0,max_iterations,19.1891
formal_fallacies,BBH,Dataset_format/BBH/formal_fallacies.csv,choice,valid_invalid,success,1,1,0,1.0,1.0,1,1,0,max_iterations,21.2163
geometric_shapes,BBH,Dataset_format/BBH/geometric_shapes.csv,choice,option_letter,success,1,1,0,1.0,1.0,1,1,0,max_iterations,18.462
ruin_names,BBH,Dataset_format/BBH/ruin_names.csv,choice,option_letter,success,1,1,0,1.0,1.0,1,1,0,max_iterations,19.9683
sports_understanding,BBH,Dataset_format/BBH/sports_understanding.csv,choice,yes_no,success,1,1,0,1.0,1.0,1,1,0,max_iterations,17.0449
marketing,MMLU,Dataset_format/MMLU/marketing_test.csv,choice,option_letter,success,1,1,0,1.0,1.0,1,1,0,max_iterations,15.5293
human_aging,MMLU,Dataset_format/MMLU/human_aging_test.csv,choice,option_letter,success,1,1,0,1.0,1.0,1,1,0,max_iterations,19.4629
high_school_world_history,MMLU,Dataset_format/MMLU/high_school_world_history_test.csv,choice,option_letter,success,1,1,0,1.0,1.0,1,1,0,max_iterations,20.2978
electrical_engineering,MMLU,Dataset_format/MMLU/electrical_engineering_test.csv,choice,option_letter,success,1,1,0,1.0,1.0,1,1,0,max_iterations,24.3883
college_medicine,MMLU,Dataset_format/MMLU/college_medicine_test.csv,choice,option_letter,success,1,1,0,1.0,1.0,1,1,0,max_iterations,20.8622
college_biology,MMLU,Dataset_format/MMLU/college_biology_test.csv,choice,option_letter,success,1,0,1,0.0,0.0,1,0,1,max_iterations,19.1012
art_studies,C-EVAL,Dataset_format/C-EVAL/art_studies_val.csv,choice,option_letter,success,1,1,0,1.0,1.0,1,1,0,max_iterations,20.7869
clinical_medicine,C-EVAL,Dataset_format/C-EVAL/clinical_medicine_val.csv,choice,option_letter,success,1,1,0,1.0,1.0,1,1,0,max_iterations,20.2692
urban_and_rural_planner,C-EVAL,Dataset_format/C-EVAL/urban_and_rural_planner_val.csv,choice,option_letter,success,1,1,0,1.0,1.0,1,1,0,max_iterations,15.7369
gsm8k,GSM8K,Dataset_format/GSM8K/gsm8k_test.csv,short_answer,short_answer,failed,1,0,1,,,,,,task_failed,391.8764
lsat_ar,AGIEval,Dataset_format/AGIEval/lsat-ar_format.csv,choice,option_letter,failed,1,0,1,,,,,,task_failed,5.3361
